,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
17898,763.0,23.6,33.1,Unique,unknown,gallery,other,signed,5.0,1.0,Ukraine,images_thesis\2275107_1_m.jpg
2337,1458.0,21.3,28.7,Unique,male,gallery,oil,signed,7.0,9.0,Spain,images_thesis\2182948_1_m.jpg
17202,727.0,13.0,13.0,Unique,male,gallery,oil,signed,3.0,10.0,other,images_thesis\1443750_1_m.jpg
19560,2180.0,23.6,23.6,Unique,female,independent,other,signed,1.0,6.0,other,images_thesis\2161348_1_m.jpg
14806,775.0,19.7,19.7,Unique,unknown,gallery,other,signed,10.0,1.0,Ukraine,images_thesis\2262127_1_m.jpg
19825,3016.0,41.3,61.0,Unique,male,independent,acrylic,signed,1.0,3.0,other,images_thesis\2246986_1_m.jpg
13235,1029.0,39.4,27.6,Unique,unknown,independent,acrylic,not signed,0.0,6.0,France,images_thesis\2303312_1_m.jpg
19463,1211.0,15.7,15.7,Unique,female,gallery,other,signed,1.0,2.0,other,images_thesis\2235826_1_m.jpg
18252,533.0,12.2,12.2,Unique,female,gallery,other,signed,1.0,3.0,Ukraine,images_thesis\2261583_1_m.jpg
206,30366.0,31.9,26.4,Unique,male,gallery,other,signed,28.0,10.0,France,images_thesis\1368006_1_m.jpg
2469,2308.0,23.6,28.7,Unique,male,gallery,oil,signed,0.0,9.0,France,images_thesis\2294740_1_m.jpg
10465,583.0,19.7,47.2,Unique,female,independent,acrylic,signed,1.0,4.0,Spain,images_thesis\2282841_1_m.jpg
1568,607.0,15.7,15.7,Unique,male,independent,other,signed,0.0,5.0,other,images_thesis\2313620_1_m.jpg
6185,1707.0,19.7,28.7,Unique,male,gallery,oil,not signed,74.0,6.0,other,images_thesis\676938_1_m.jpg
4,838.0,15.7,15.7,Unique,unknown,independent,other,signed,4.0,5.0,France,images_thesis\1241121_1_m.jpg
19968,351.0,7.3,10.2,Unique,unknown,gallery,other,signed,4.0,3.0,other,images_thesis\2312375_1_m.jpg
16648,606.0,15.7,15.7,Unique,female,gallery,acrylic,signed,1.0,3.0,Ukraine,images_thesis\2244642_1_m.jpg
15664,79.0,7.9,7.9,Unique,male,independent,other,signed,3.0,7.0,France,images_thesis\1684929_1_m.jpg
1839,2308.0,31.5,31.5,Unique,male,gallery,other,signed,7.0,5.0,other,images_thesis\1011525_1_m.jpg
4115,2429.0,21.7,18.5,Unique,male,gallery,other,signed,1.0,9.0,Spain,images_thesis\2270552_1_m.jpg
11889,729.0,23.6,23.6,Unique,male,independent,oil,signed,0.0,1.0,other,images_thesis\2314701_1_m.jpg
7503,3522.0,26.0,19.7,Unique,unknown,gallery,other,signed,75.0,6.0,other,images_thesis\2229548_1_m.jpg
5825,1786.0,23.4,17.9,Unique,male,gallery,oil,signed,92.0,6.0,other,images_thesis\2221155_1_m.jpg
13949,848.0,23.6,23.6,Unique,male,independent,oil,signed,1.0,1.0,other,images_thesis\2281396_1_m.jpg
3587,1000.0,31.5,23.6,Unique,female,gallery,other,signed,3.0,1.0,United States,images_thesis\2265435_1_m.jpg
13066,1000.0,9.1,12.6,Unique,male,independent,other,signed,9.0,4.0,Ukraine,images_thesis\2289401_1_m.jpg
63,1883.0,47.2,47.2,Unique,unknown,gallery,acrylic,signed,0.0,10.0,France,images_thesis\2288385_1_m.jpg
4794,6316.0,8.0,8.0,Unique,unknown,gallery,other,signed,2.0,10.0,other,images_thesis\1972785_1_m.jpg
14477,618.0,13.8,17.7,Unique,male,gallery,oil,signed,10.0,1.0,Ukraine,images_thesis\2324204_1_m.jpg
6867,1822.0,27.6,27.6,Unique,unknown,independent,other,signed,1.0,2.0,other,images_thesis\2236109_1_m.jpg
18504,1029.0,21.5,21.5,Unique,unknown,gallery,other,signed,5.0,2.0,Spain,images_thesis\2135636_1_m.jpg
14964,2271.0,27.6,39.4,Unique,male,gallery,other,signed,0.0,7.0,France,images_thesis\2308694_1_m.jpg
200,2976.0,47.2,39.4,Copy,male,gallery,other,signed,4.0,5.0,other,images_thesis\1280256_1_m.jpg
14434,1000.0,24.0,36.0,Unique,male,independent,acrylic,signed,7.0,6.0,United States,images_thesis\593610_1_m.jpg
8871,2004.0,37.4,45.3,Unique,female,independent,acrylic,signed,0.0,4.0,Spain,images_thesis\2285475_1_m.jpg
16436,1453.0,8.5,11.0,Unique,unknown,gallery,other,signed,0.0,4.0,United States,images_thesis\2296133_1_m.jpg
