price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
3522.0,26.0,19.7,Unique,unknown,gallery,other,signed,75.0,6.0,other,images_thesis\2229548_1_m.jpg
2483.0,17.9,20.9,Unique,unknown,gallery,oil,signed,4.0,10.0,other,images_thesis\1594191_1_m.jpg
2798.0,27.6,51.2,Unique,female,independent,acrylic,signed,3.0,3.0,other,images_thesis\1554705_1_m.jpg
727.0,6.3,9.8,Unique,male,gallery,other,signed,42.0,10.0,France,images_thesis\291367_1_m.jpg
1500.0,24.0,24.0,Unique,female,gallery,oil,signed,1.0,1.0,United States,images_thesis\2323200_1_m.jpg
1093.0,44.1,26.4,Copy,unknown,gallery,other,signed,5.0,9.0,France,images_thesis\717177_1_m.jpg
4373.0,39.4,47.2,Unique,female,independent,other,signed,0.0,3.0,other,images_thesis\2308871_1_m.jpg
2400.0,36.0,26.0,Unique,unknown,gallery,other,signed,1.0,3.0,other,images_thesis\2285040_1_m.jpg
972.0,31.5,39.4,Unique,male,gallery,other,signed,0.0,9.0,France,images_thesis\2322196_1_m.jpg
618.0,7.9,5.9,Unique,male,gallery,other,signed,2.0,5.0,other,images_thesis\1892613_1_m.jpg
2664.0,27.6,27.6,Unique,male,gallery,other,signed,15.0,10.0,France,images_thesis\312127_1_m.jpg
1100.0,24.0,30.0,Unique,male,gallery,oil,signed,8.0,5.0,other,images_thesis\1471845_1_m.jpg
4239.0,25.6,19.7,Unique,male,gallery,acrylic,signed,49.0,10.0,France,images_thesis\2178335_1_m.jpg
1032.0,15.7,51.2,Unique,male,independent,other,signed,9.0,6.0,France,images_thesis\487051_1_m.jpg
4494.0,39.4,39.4,Unique,male,gallery,other,signed,5.0,10.0,France,images_thesis\923883_1_m.jpg
900.0,15.7,17.7,Unique,unknown,gallery,oil,signed,1.0,1.0,Ukraine,images_thesis\2249185_1_m.jpg
2672.0,31.5,27.6,Unique,female,independent,oil,signed,6.0,3.0,other,images_thesis\2137370_1_m.jpg
285.0,13.8,17.7,Unique,male,gallery,oil,signed,1.0,1.0,Ukraine,images_thesis\2290448_1_m.jpg
1822.0,45.7,35.0,Unique,male,gallery,other,signed,5.0,9.0,Spain,images_thesis\2325431_1_m.jpg
787.0,35.4,43.3,Unique,male,gallery,other,signed,7.0,1.0,Ukraine,images_thesis\2256280_1_m.jpg
790.0,10.6,8.7,Unique,male,gallery,other,signed,15.0,9.0,Spain,images_thesis\2302770_1_m.jpg
242.0,11.8,9.8,Unique,male,independent,other,signed,0.0,4.0,other,images_thesis\2325922_1_m.jpg
1585.0,63.0,21.7,Unique,female,independent,other,signed,0.0,2.0,France,images_thesis\2285506_1_m.jpg
