,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path,url
0,3158.0,27.6,27.6,Unique,female,independent,other,signed,0.0,1.0,France,images_thesis\2313827_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2313827/au-fil-d-leau
1,2065.0,19.7,19.7,Unique,female,independent,other,signed,0.0,3.0,France,images_thesis\2328028_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2328028/lenergie-des-livres
2,3522.0,23.6,23.6,Unique,female,independent,other,signed,0.0,3.0,France,images_thesis\2299335_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2299335/paysage-de-lame
3,644.0,15.7,11.8,Unique,female,gallery,oil,signed,4.0,5.0,other,images_thesis\1118562_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1118562/parallel-universe-3
4,838.0,15.7,15.7,Unique,unknown,independent,other,signed,4.0,5.0,France,images_thesis\1241121_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1241121/victoria
5,839.0,31.5,23.6,Unique,male,independent,acrylic,signed,3.0,3.0,other,images_thesis\1764357_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1764357/abstract-22142
6,790.0,19.7,19.7,Unique,female,independent,acrylic,signed,4.0,6.0,other,images_thesis\1286004_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1286004/sweet-thing
7,875.0,19.3,19.3,Unique,unknown,gallery,other,signed,6.0,11.0,France,images_thesis\575328_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/575328/landscape-sketch-84
8,2033.0,47.2,31.5,Unique,male,gallery,acrylic,signed,3.0,2.0,other,images_thesis\2160108_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2160108/cuerpo-escueto-en-fondo-negro
9,2429.0,31.9,39.4,Unique,male,gallery,oil,signed,6.0,8.0,France,images_thesis\842034_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/842034/29-octobre-2019
10,600.0,8.0,8.0,Unique,male,gallery,acrylic,signed,5.0,6.0,United States,images_thesis\827373_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/827373/the-kiss
11,972.0,31.9,46.1,Unique,male,gallery,other,signed,6.0,10.0,other,images_thesis\679239_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/679239/composition-no150
12,644.0,31.5,31.5,Unique,female,independent,acrylic,signed,4.0,5.0,other,images_thesis\1092183_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1092183/jazz-on
13,2794.0,28.7,21.3,Unique,male,gallery,other,signed,5.0,2.0,other,images_thesis\2097702_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2097702/mask-geometric-geometric-art
14,2915.0,31.5,31.5,Unique,female,independent,oil,signed,1.0,3.0,other,images_thesis\2174383_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2174383/orlando
15,63160.0,59.1,78.7,Unique,unknown,gallery,acrylic,signed,15.0,4.0,France,images_thesis\2310418_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2310418/merry-go-round
16,668.0,7.9,7.9,Unique,male,gallery,acrylic,signed,7.0,8.0,France,images_thesis\459001_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/459001/green-05
17,729.0,14.6,10.6,Unique,male,gallery,oil,not signed,27.0,6.0,other,images_thesis\680721_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/680721/abstract-expression
18,849.0,35.4,35.4,Unique,male,independent,acrylic,signed,1.0,5.0,other,images_thesis\2249811_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2249811/oceanic-blue-square
19,450000.0,40.0,66.0,Unique,male,gallery,acrylic,signed,39.0,9.0,United States,images_thesis\50976_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/50976/operenccia
20,91097.0,63.8,38.2,Unique,unknown,gallery,acrylic,signed,33.0,10.0,other,images_thesis\1223355_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1223355/the-gun
21,607.0,27.6,19.7,Unique,unknown,gallery,acrylic,signed,5.0,5.0,France,images_thesis\931020_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/931020/silhouette-1
22,1093.0,24.0,19.7,Unique,unknown,independent,acrylic,signed,5.0,1.0,France,images_thesis\2229274_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2229274/faustine
23,1761.0,63.0,37.4,Unique,female,independent,acrylic,signed,0.0,4.0,Spain,images_thesis\2248842_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2248842/bright-prospects
24,850.0,47.2,23.6,Unique,male,gallery,other,signed,6.0,9.0,France,images_thesis\2297169_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2297169/peinture-07-2021-60
25,800.0,48.0,30.0,Unique,female,gallery,other,signed,3.0,7.0,United States,images_thesis\1555308_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1555308/find-a-way
26,2450.0,36.0,24.0,Unique,unknown,gallery,other,signed,1.0,3.0,other,images_thesis\2253925_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2253925/love-and-flowers-21st-century-contemporary-figurative-portrait-africa-women
27,850.0,31.9,39.4,Unique,male,gallery,other,signed,2.0,9.0,France,images_thesis\2155002_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2155002/children-online
28,838.0,25.6,19.7,Unique,unknown,gallery,other,signed,0.0,10.0,France,images_thesis\2320948_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2320948/tourbillon
29,972.0,16.5,11.7,Unique,female,gallery,other,signed,4.0,9.0,Spain,images_thesis\1374666_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/1374666/fields-99
